word,level,pos,thai,definition
additionally,B2,adverb,นอกจากนี้,By way of addition; in addition to; also.
adequate,B2,adjective,เพียงพอ,To equalize; to make adequate.
adequately,B2,adverb,อย่างเหมาะสม,In an adequate manner.
adhere,B2,verb,ยึดติด,"To stick fast or cleave, as a glutinous substance does; to become joined or united."
adjacent,B2,adjective,ติดกัน,"Something that lies next to something else, especially the side of a right triangle that is neither the hypotenuse nor the opposite."
adjust,B2,verb,ปรับ,To modify.
adjustment,B2,noun,การปรับแต่ง,The action of adjusting something
administer,B2,verb,บริหาร,"To cause to ingest (a drug), either by openly offering or through deceit."
administrative,B2,adjective,การบริหาร,Of or relating to administering or administration.
administrator,B2,noun,ผู้ดูแลระบบ,"One who administers affairs; one who directs, manages, executes, or dispenses, whether in civil, judicial, political, or ecclesiastical affairs; a manager"
admission,B2,noun,การรับเข้าเรียน,The act or practice of admitting.
adolescent,B2,noun,วัยรุ่น,A person who is in adolescence; someone who has reached puberty but is not yet an adult.
adoption,B2,noun,การรับเลี้ยงบุตรบุญธรรม,The act of adopting.
adverse,B2,adjective,ผลเสีย,Unfavorable; antagonistic in purpose or effect; hostile; actively opposing one's interests or wishes; contrary to one's welfare; acting against; working in an opposing direction.
advocate,B2,noun/verb,สนับสนุน,Someone whose job is to speak for someone's case in a court of law; a counsel.
aesthetic,B2,adjective,เกี่ยวกับความงาม,The study of art or beauty.
affection,B2,noun,ความรัก,The act of affecting or acting upon.
affordable,B2,adjective,ซื้อได้,Able to be afforded; inexpensive or reasonably priced.
aftermath,B2,noun,ควันหลง,A second mowing; the grass which grows after the first crop of hay in the same season.
aggression,B2,noun,ความก้าวร้าว,The act of initiating hostilities or invasion.
agricultural,B2,adjective,การเกษตร,A product or commodity from agriculture.
agriculture,B2,noun,เกษตรกรรม,"The art or science of cultivating the ground, including the harvesting of crops, and the rearing and management of livestock"
aide,B2,noun,ผู้ช่วย,An assistant.
AIDS,B2,noun,เอดส์,"Help; assistance; succor, relief."
albeit,B2,conjunction,แม้ว่า,"Although, despite (it) being."
alert,B2,verb/noun,เตือน,An alarm.
alien,B2,noun,มนุษย์ต่างดาว,Any life form of extraterrestrial or extradimensional origin.
align,B2,verb,จัดแนว,To form a line; to fall into line.
alignment,B2,noun,การจัดเรียง,An arrangement of items in a line.
alike,B2,adverb,เหมือนกัน,Having resemblance or similitude; similar; without difference.
allegation,B2,noun,ข้อกล่าวหา,"An assertion, especially an accusation, not necessarily based on facts."
allege,B2,verb,กล่าวหา,"To state under oath, to plead."
allegedly,B2,adverb,กล่าวอ้างว่า,According to someone's allegation.
alliance,B2,noun,พันธมิตร,The state of being allied.
allocate,B2,verb,จัดสรร,To set aside for a purpose.
allocation,B2,noun,การจัดสรร,"The process or procedure for allocating things, especially money or other resources."
allowance,B2,noun,เบี้ยเลี้ยง,"Permission; granting, conceding, or admitting"
ally,B2,noun,พันธมิตร,"A person, group, or state (etc) which is associated with another for a common cause; one united to another by treaty or common purpose; a confederate."
alongside,B2,preposition,เคียงข้าง,Along the side; by the side; side by side with.
altogether,B2,adverb,ทั้งหมด,Without exception; wholly; completely.
aluminium,B2,noun,อะลูมิเนียม,"A light, silvery metal extracted from bauxite, and a chemical element (symbol Al) with an atomic number of 13."
amateur,B2,adjective/noun,มือสมัครเล่น,A lover of something.
ambassador,B2,noun,เอกอัครราชทูต,A minister of the highest rank sent to a foreign court to represent there his sovereign or country. (Sometimes called ambassador-in-residence)
ambulance,B2,noun,รถพยาบาล,An emergency vehicle designed for transporting seriously ill or injured people to a hospital.
amend,B2,verb,แก้ไข,(usually in the plural) An act of righting a wrong; compensation.
amendment,B2,noun,การแก้ไข,An alteration or change for the better; correction of a fault or of faults; reformation of life by quitting vices.
amid,B2,preposition,ท่ามกลาง,In the middle of; in the center of; surrounded by.
amusing,B2,adjective,น่าขบขัน,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.
analogy,B2,noun,การเปรียบเทียบ,"A relationship of resemblance or equivalence between two situations, people, or objects, especially when used as a basis for explanation or extrapolation."
analyst,B2,noun,นักวิเคราะห์,Someone who analyzes.
ancestor,B2,noun,บรรพบุรุษ,"One from whom a person is descended, whether on the father's or mother's side, at any distance of time; a progenitor; a forefather."
anchor,B2,noun,แองเคอร์,A tool used to moor a vessel to the bottom of a sea or river to resist movement.
angel,B2,noun,นางฟ้า,"An incorporeal and sometimes divine messenger from a deity, or other divine entity, often depicted in art as a youthful winged figure in flowing robes."
animation,B2,noun,แอนิเมชั่น,"The act of animating, or giving life or spirit."
annually,B2,adverb,ทุกปี,"Once every year without fail, yearly"
anonymous,B2,adjective,นิรนาม,"Lacking a name; not named, for example an animal not assigned to any species."
anticipate,B2,verb,คาดหวัง,"To act before (someone), especially to prevent an action."
anxiety,B2,noun,ความวิตกกังวล,"An unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event."
apology,B2,noun,คำขอโทษ,An expression of remorse or regret for having said or done something that harmed another: an instance of apologizing (saying that one is sorry).
apparatus,C1,noun,อุปกรณ์,The entirety of means whereby a specific production is made existent or task accomplished.
appealing,C1,adjective,น่าดึงดูดใจ,"To call upon another to decide a question controverted, to corroborate a statement, to vindicate one's rights, etc."
appetite,C1,noun,ความอยากอาหาร,Desire to eat food or consume drink.
applaud,C1,verb,ปรบมือ,Applause; applauding.
applicable,C1,adjective,ใช้ได้,"Suitable for application, relevant"
applicant,B2,noun,ผู้สมัคร,One who applies for something; one who makes a request; a petitioner.
appoint,C1,verb,แต่งตั้ง,"To set, fix or determine (a time or place for something such as a meeting, or the meeting itself) by authority or agreement."
appreciation,C1,noun,ความซาบซึ้งใจ,"A fair valuation or estimate of merit, worth, weight, etc.; recognition of excellence."
appropriately,B2,adverb,อย่างเหมาะสม,In an appropriate manner; properly; suitably.
arbitrary,C1,adjective,โดยพลการ,"Anything arbitrary, such as an arithmetical value or a fee."
architectural,C1,adjective,สถาปัตยกรรม,Pertaining to architecture.
archive,C1,noun,คลังเก็บเอกสารสำคัญ,"A place for storing earlier, and often historical, material. An archive usually contains documents (letters, records, newspapers, etc.) or other types of media kept for historical interest."
arena,C1,noun,สนาม,"An enclosed area, often outdoor, for the presentation of sporting events (sports arena) or other spectacular events; earthen area, often oval, specifically for rodeos (North America) or circular area for bullfights (especially Hispanic America)."
arguably,C1,adverb,อาจกล่าวได้ว่า,"As can be supported or proven by sound logical deduction, evidence, and precedent."
arm,C1,verb,แขน,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand."
array,C1,noun,อาร์เรย์,Clothing and ornamentation.
arrow,B2,noun,ลูกศร,"A projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow."
articulate,C1,verb,พูดจาฉะฉาน,An animal of the subkingdom Articulata.
artwork,B2,noun,งานศิลปะ,"A painting, drawing, sculpture or other piece of creative, visual art"
ash,C1,noun,เถ้า,The solid remains of a fire.
aside,B2,adverb,นอกเหนือจากนั้น,An incidental remark made quietly so as to be heard by the person to whom it is said and not by any others in the vicinity.
aspiration,C1,noun,ความใฝ่ฝัน,"The act of aspiring or ardently desiring; an ardent wish or desire, chiefly after what is elevated or spiritual (with common adjunct adpositions being to and of)."
aspire,C1,verb,ใฝ่ฝัน,To have a strong desire or ambition to achieve something.
assassination,C1,noun,การลอบสังหาร,"The murder of a person, especially for political reasons or for personal gain."
assault,C1,noun/verb,การทำร้ายร่างกาย,"A violent onset or attack with physical means, for example blows, weapons, etc."
assemble,C1,verb,ประกอบ,To put together.
assembly,C1,noun,การประกอบ,A set of pieces that work together in unison as a mechanism or device.
assert,C1,verb,ยืนยัน,An assertion; a section of source code which tests whether an expected condition is true.
assertion,C1,noun,การยืนยัน,The act of asserting; positive declaration or averment.
asset,B2,noun,สินทรัพย์,Something or someone of any value; any portion of one's property or effects so considered.
assign,B2,verb,กำหนด,An assignee.
assistance,B2,noun,ความช่วยเหลือ,Aid; help; the act or result of assisting.
assumption,B2,noun,สมมติฐาน,"The act of assuming, or taking to or upon oneself; the act of taking up or adopting."
assurance,C1,noun,การรับประกัน,The act of assuring; a declaration tending to inspire full confidence; that which is designed to give confidence.
assure,B2,verb,รับรอง,To make sure and secure.
astonishing,B2,adjective,น่าทึ่ง,To surprise greatly.
asylum,C1,noun,ลี้ภัย,A place of safety.
atrocity,C1,noun,ความโหดร้าย,An extremely cruel act; a horrid act of injustice.
attachment,B2,noun,เอกสารแนบ,The act or process of (physically or figuratively) attaching.
attain,C1,verb,บรรลุ,To gain (an object or desired result).
attendance,C1,noun,การเข้าร่วม,The state of attending; presence or waiting upon.
attorney,C1,noun,ทนายความ,A lawyer; one who advises or represents others in legal matters as a profession.
attribute,C1,verb/noun,คุณลักษณะ,A characteristic or quality of a thing.
auction,B2,noun,ประมูล,A public event where goods or property are sold to the highest bidder.
audio,B2,adjective,เสียง,"A sound, or a sound signal"
audit,C1,noun,การตรวจสอบ,A judicial examination.
authentic,C1,adjective,แท้,Of the same origin as claimed; genuine.
authorize,C1,verb,อนุญาต,To grant (someone) the permission or power necessary to do (something).
auto,C1,noun,อัตโนมัติ,An automobile.
automatic,B2,adjective,อัตโนมัติ,A car with automatic transmission.
automatically,B2,adverb,โดยอัตโนมัติ,In an automatic manner.
autonomy,C1,noun,ความเป็นอิสระ,Self-government; freedom to act or function independently.
availability,C1,noun,ความพร้อมใช้งาน,The quality of being available.
await,C1,verb,รอ,A waiting for; ambush.
awareness,B2,noun,การรับรู้,The state or level of consciousness where sense data can be confirmed by an observer.
awkward,B2,adjective,งุ่มง่าม,Someone or something that is awkward.
backdrop,C1,noun,ฉากหลัง,A decorated cloth hung at the back of a stage.
backing,C1,noun,การสนับสนุน,To go in the reverse direction.
backup,C1,noun,สำรองข้อมูล,A reserve or substitute.
badge,B2,noun,ป้าย,"A distinctive mark, token, sign, emblem or cognizance, worn on one's clothing, as an insignia of some rank, or of the membership of an organization."
bail,C1,noun,การประกันตัว,"Security, usually a sum of money, exchanged for the release of an arrested person as a guarantee of that person's appearance for trial."
balanced,B2,adjective,สมดุล,"To bring (items) to an equipoise, as the scales of a balance by adjusting the weights."
ballet,B2,noun,บัลเลต์,A classical form of dance.
balloon,B2,noun,ลูกโป่ง,"An inflatable buoyant object, often (but not necessarily) round and flexible."
ballot,C1,noun,บัตรลงคะแนน,"Originally, a small ball placed in a container to cast a vote; now, by extension, a piece of paper or card used for this purpose, or some other means used to signify a vote."
banner,C1,noun,แบนเนอร์,"A flag or standard used by a military commander, monarch or nation."
bare,C1,adjective,เปลือย,"(‘the bare’) The surface, the (bare) skin."
barely,B2,adverb,แทบจะไม่,(degree) By a small margin.
bargain,B2,noun,ต่อรอง,"An agreement between parties concerning the sale of property; or a contract by which one party binds himself to transfer the right to some property for a consideration, and the other party binds himself to receive the property and pay the consideration."
barrel,C1,noun,ถัง,"A round vessel or cask, of greater length than breadth, and bulging in the middle, made of staves bound with hoops, and having flat ends or heads. Sometimes applied to a similar cylindrical container made of metal, usually called a drum."
basement,B2,noun,ห้องใต้ดิน,A floor of a building below ground level.
basket,B2,noun,ตะกร้า,"A lightweight container, generally round, open at the top, and tapering toward the bottom."
bass,C1,noun,เบส,A low spectrum of sound tones.
bat,B2,noun,ค้างคาว,"Any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous."
bat,C1,verb,ค้างคาว,"Any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous."
battlefield,C1,noun,สนามรบ,"The area where a land battle is or was fought, which is not necessarily a field."
bay,C1,noun,อ่าว,A berry.
beam,C1,noun,ลำแสง,"Any large piece of timber or iron long in proportion to its thickness, and prepared for use."
beast,C1,noun,สัตว์ร้าย,"Any animal other than a human; usually only applied to land vertebrates, especially large or dangerous four-footed ones."
behalf,C1,noun,ในนามของ,"in the interests of (a person, group, or principle)."
beloved,C1,adjective,ที่รัก,To please.
bench,C1,noun,ม้านั่ง,"A long seat with or without a back, found for example in parks and schools."
benchmark,C1,noun,เกณฑ์มาตรฐาน,A standard by which something is evaluated or measured.
beneath,C1,preposition,ข้างใต้,Below or underneath.
beneficiary,C1,noun,ผู้รับผลประโยชน์,One who benefits or receives an advantage.
beside,B2,preposition,ข้าง,Otherwise; else.
besides,B2,preposition,นอกจาก,Also; in addition.
betray,C1,verb,ทรยศ,"To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly."
bias,B2,noun,อคติ,"Inclination towards something; predisposition, partiality, prejudice, preference, predilection."
bid,B2,noun/verb,ประมูล,To issue a command; to tell.
bind,C1,verb,ผูก,That which binds or ties.
biography,C1,noun,ชีวประวัติ,"A person's life story, especially one published."
biological,B2,adjective,ชีวภาพ,A biological product.
bishop,C1,noun,บิชอป,"An overseer of congregations: either any such overseer, generally speaking, or (in Eastern Orthodoxy, Catholicism, Anglicanism, etc.) an official in the church hierarchy (actively or nominally) governing a diocese, supervising the church's priests, deacons, and property in its territory."
bizarre,C1,adjective,แปลกประหลาด,Strangely unconventional in style or appearance.
blade,C1,noun,ใบมีด,"The sharp cutting edge of a knife, chisel, or other tool, a razor blade/sword."
blanket,B2,noun,ผ้าห่ม,"A heavy, loosely woven fabric, usually large and woollen, used for warmth while sleeping or resting."
blast,C1,noun/verb,ระเบิด,A violent gust of wind.
bleed,C1,verb,เลือดออก,"An incident of bleeding, as in haemophilia."
blend,C1,verb/noun,ผสมผสาน,A mixture of two or more things.
bless,C1,verb,อวยพร,"To make something holy by religious rite, sanctify."
blessing,C1,noun,พร,"To make something holy by religious rite, sanctify."
blow,B2,noun,เป่า,A strong wind.
boast,C1,verb,โม้,A brag; ostentatious positive appraisal of oneself.
bold,B2,adjective,ตัวหนา,A dwelling; habitation; building.
bombing,B2,noun,การทิ้งระเบิด,To attack using one or more bombs; to bombard.
bonus,C1,noun,โบนัส,Something extra that is good; an added benefit.
booking,B2,noun,การจอง,To reserve (something) for future use.
boom,C1,noun,บูม,"A low-pitched, resonant sound, such as of an explosion."
boost,B2,verb/noun,เพิ่ม,"A push from behind, as to one who is endeavoring to climb."
bounce,C1,verb,กระเด้ง,A change of direction of motion after hitting the ground or an obstacle.
bound,B2,adjective,ผูกพัน,To tie; to confine by any ligature.
boundary,C1,noun,ขอบเขต,The dividing line or location between two areas.
bow,C1,verb/noun,โค้งคำนับ,"A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows."
breach,C1,noun/verb,การละเมิด,"A gap or opening made by breaking or battering, as in a wall, fortification or levee / embankment; the space between the parts of a solid body rent by violence"
breakdown,C1,noun,พัง,"A failure, particularly mechanical; something that has failed"
breakthrough,C1,noun,ความก้าวหน้า,An advance through and past enemy lines.
breed,C1,verb/noun,พันธุ์,All animals or plants of the same species or subspecies.
brick,B2,noun,อิฐ,"A hardened rectangular block of mud, clay etc., used for building."
briefly,B2,adverb,โดยสังเขป,"(manner) In a brief manner, summarily."
broadband,C1,noun,บรอดแบนด์,A wide band of electromagnetic frequencies
broadcaster,B2,noun,ผู้ประกาศข่าว,An organisation that engages in the activity of broadcasting.
broadly,B2,adverb,โดยทั่วไป,Widely and openly.
browser,C1,noun,เบราว์เซอร์,A person or animal who browses.
brutal,C1,adjective,โหดร้าย,"Savagely violent, vicious, ruthless, or cruel"
buck,C1,noun,เจ้าชู้,"A male deer, antelope, sheep, goat, rabbit, hare, and sometimes the male of other animals such as the hamster, ferret and shad."
buddy,C1,noun,เพื่อน,A friend or casual acquaintance.
buffer,C1,noun,บัฟเฟอร์,"Of the color of buff leather, a brownish yellow."
bug,B2,noun,บั๊ก,An insect of the order Hemiptera (the “true bugs”).
bulk,C1,noun,จำนวนมาก,"Size, specifically, volume."
burden,C1,noun,ภาระ,A heavy load.
bureaucracy,C1,noun,ระบบราชการ,Government by bureaus or their administrators or officers.
burial,C1,noun,การฝังศพ,The act of burying; interment
burst,C1,verb,ระเบิด,An act or instance of bursting.
cabin,B2,noun,ห้องโดยสาร,"A small dwelling characteristic of the frontier, especially when built from logs with simple tools and not constructed by professional builders, but by those who meant to live in it."
cabinet,C1,noun,ตู้,"A storage closet either separate from, or built into, a wall."
calculation,C1,noun,การคำนวณ,The act or process of calculating.
canal,B2,noun,คลอง,"An artificial waterway or artificially improved river used for travel, shipping, or irrigation."
candle,B2,noun,เทียน,"A light source consisting of a wick embedded in a solid, flammable substance such as wax, tallow, or paraffin."
canvas,C1,noun,ผ้าใบ,"A type of coarse cloth, woven from hemp, useful for making sails and tents or as a surface for paintings."
capability,C1,noun,ความสามารถ,The power or ability to generate an outcome
capitalism,C1,noun,ทุนนิยม,A socio-economic system based on private ownership of resources or capital.
capitalist,C1,adjective,ทุนนิยม,A person who is a supporter of capitalism.
carbon,B2,noun,คาร์บอน,"The chemical element (symbol C) with an atomic number of 6. It can be found in pure form for example as graphite, a black, shiny and very soft material, or diamond, a colourless, transparent, crystalline solid and the hardest known material."
cargo,C1,noun,สินค้า,"Freight carried by a ship, aircraft, or motor vehicle."
carriage,C1,noun,รถม้า,The act of conveying; carrying.
carve,C1,verb,แกะสลัก,A carucate.
casino,C1,noun,คาสิโน,"A public building or room for entertainment, especially gambling."
casual,B2,adjective,ไม่เป็นทางการ,"A worker who is only working for a company occasionally, not as its permanent employee."
casualty,C1,noun,ผู้เสียชีวิต,"Something that happens by chance, especially an unfortunate event; an accident, a disaster."
catalogue,C1,noun,แคตตาล็อก,"A systematic list of names, books, pictures etc."
cater,C1,verb,จัดเลี้ยง,Caterer
cattle,C1,noun,วัว,"Domesticated bovine animals (cows, bulls, steers etc)."
caution,C1,noun,คำเตือน,Precept or warning against evil or danger of any kind; exhortation to wariness; advice; injunction; prudence in regard to danger; provident care
cautious,C1,adjective,ระมัดระวัง,Careful; using or exercising caution; tentative
cave,B2,noun,ถ้ำ,"a large natural underground space inside a cliff, hill, or under the ground"
cease,C1,verb,หยุด,Cessation; extinction (see without cease).
cemetery,C1,noun,สุสาน,A place where the dead are buried; a graveyard or memorial park.
certainty,B2,noun,ความแน่นอน,The state of being certain.
certificate,B2,noun,ใบรับรอง,A document containing a certified statement.
challenging,B2,adjective,ที่ท้าทาย,To invite (someone) to take part in a competition.
chamber,C1,noun,ห้อง,"A room or set of rooms, particularly:"
championship,B2,noun,การแข่งขันชิงแชมป์,"A competition to determine a champion, especially the final of a series of competitions."
chaos,C1,noun,ความวุ่นวาย,The unordered state of matter in classical accounts of cosmogony.
characterize,C1,verb,ลักษณะเฉพาะ,To depict someone or something a particular way (often negative).
charm,C1,noun,เสน่ห์,"An object, act or words believed to have magic power (usually carries a positive connotation)."
charming,B2,adjective,มีเสน่ห์,"To seduce, persuade or fascinate someone or something."
charter,C1,noun,กฎบัตร,"A document issued by some authority, creating a public or private institution, and defining its purposes and privileges."
chase,B2,verb/noun,ไล่ล่า,The act of one who chases another; a pursuit.
cheek,B2,noun,แก้ม,"The soft skin on each side of the face, below the eyes; the outer surface of the sides of the oral cavity."
cheer,B2,verb/noun,เชียร์,"A cheerful attitude; happiness; a good, happy, or positive mood."
choir,B2,noun,คณะนักร้องประสานเสียง,Singing group; group of people who sing together; company of people who are trained to sing together.
chop,B2,verb,สับ,"A cut of meat, often containing a section of a rib."
chronic,C1,adjective,เรื้อรัง,"Marijuana, typically of high quality."
chunk,C1,noun,ก้อน,A part of something that has been separated.
circuit,B2,noun,วงจร,"The act of moving or revolving around, or as in a circle or orbit; a revolution"
circulate,C1,verb,หมุนเวียน,To move in circles or through a circuit
circulation,C1,noun,การหมุนเวียน,"The act of moving in a circle, or in a course which brings the moving body to the place where its motion began."
citizenship,C1,noun,สัญชาติ,"The status of being a citizen, in its various senses."
civic,C1,adjective,พลเมือง,"Of, relating to, or belonging to a city, a citizen, or citizenship; municipal or civil."
civilian,C1,noun/adjective,พลเรือน,"A person following the pursuits of civil life, especially one who is not an active member of the armed forces."
civilization,B2,noun,อารยธรรม,"An organized culture encompassing many communities, often on the scale of a nation or a people; a stage or system of social, political or technical development."
clarify,B2,verb,ชี้แจง,"(of liquids, such as wine or syrup) To make clear or bright by freeing from feculent matter"
clarity,C1,noun,ความชัดเจน,"The state or measure of being clear, either in appearance, thought or style; lucidity."
clash,C1,noun,การปะทะ,"A loud sound, like the crashing together of metal objects."
classification,C1,noun,การจำแนกประเภท,"The act of forming into a class or classes; a distribution into groups, as classes, orders, families, etc., according to some common relations or attributes."
classify,B2,verb,จัดประเภท,To identify by or divide into classes; to categorize
clerk,B2,noun,พนักงาน,"One who occupationally works with records, accounts, letters, etc.; an office worker."
cliff,B2,noun,หน้าผา,A vertical (or nearly vertical) rock face.
cling,C1,verb,ยึดติด,Fruit (especially peach) whose flesh adheres strongly to the pit.
clinic,B2,noun,คลินิก,"A medical facility, such as a hospital, especially one for the treatment and diagnosis of outpatients."
clinical,C1,adjective,ทางคลินิก,A medical student's session spent in a real-world nursing environment.
clip,B2,noun,คลิป,Something which clips or grasps; a device for attaching one object to another.
closure,C1,noun,การปิด,An event or occurrence that signifies an ending.
cluster,C1,noun,กลุ่ม,A group or bunch of several discrete items that are close to each other.
coalition,C1,noun,พันธมิตร,"a union of political parties or groups formed for a special purpose, usually for a limited time"
coastal,C1,adjective,ชายฝั่ง,"Relating to the coast; on or near the coast, as a coastal town, a coastal breeze"
cocktail,C1,noun,ค็อกเทล,A mixed alcoholic beverage.
cognitive,C1,adjective,ความรู้ความเข้าใจ,Cognate.
coincide,C1,verb,ตรงกัน,To occupy exactly the same space.
coincidence,B2,noun,เหตุบังเอิญ,"Of objects, the property of being coincident; occurring at the same time or place."
collaborate,C1,verb,ร่วมมือ,To work together with others to achieve a common goal.
collaboration,C1,noun,การทำงานร่วมกัน,The act of collaborating.
collective,C1,adjective,โดยรวม,A farm owned by a collection of people
collector,B2,noun,นักสะสม,"A person who or thing that collects, or which creates or manages a collection."
collision,C1,noun,การชนกัน,An instance of colliding.
colonial,C1,adjective,อาณานิคม,A person from a country that is or was controlled by another.
colony,B2,noun,อาณานิคม,A governmental unit created on land of another country owned by colonists from a country.
colourful,B2,adjective,สีสันสดใส,Possessing prominent and varied colors.
columnist,C1,noun,คอลัมนิสต์,"A regular writer of a column, such as in a magazine or newspaper"
combat,C1,noun/verb,การต่อสู้,"A battle, a fight (often one in which weapons are used)."
comic,B2,adjective/noun,การ์ตูน,A comedian.
commander,B2,noun,ผู้บัญชาการ,One who exercises control and direction of a military or naval organization.
commence,C1,verb,เริ่ม,"To begin, start."
commentary,C1,noun,บทวิจารณ์,"A series of comments or annotations; especially, a book of explanations or expositions on the whole or a part of some other work"
commentator,C1,noun,ผู้บรรยาย,"A person who comments; especially someone who is paid to give his/her opinions in the media about current affairs, sports, etc."
commerce,C1,noun,การค้า,"The exchange or buying and selling of commodities; especially the exchange of merchandise, on a large scale, between different places or communities; extended trade or traffic."
commissioner,C1,noun,กรรมาธิการ,A member of a commission.
commodity,C1,noun,สินค้า,Anything movable (a good) that is bought and sold.
communist,C1,adjective,คอมมิวนิสต์,An advocate of a society based on the common ownership of property; a proponent of communism.
companion,C1,noun,สหาย,"A friend, acquaintance, or partner; someone with whom one spends time or keeps company"
comparable,C1,adjective,เทียบเคียงได้,Something suitable for comparison.
comparative,B2,adjective,เปรียบเทียบ,"(grammar) A construction showing a relative quality, in English usually formed by adding more or appending -er. For example, the comparative of green is greener; of evil, more evil."
compassion,C1,noun,ความเห็นอกเห็นใจ,"Deep awareness of the suffering of another, coupled with the wish to relieve it."
compel,C1,verb,บังคับ,"To drive together, round up"
compelling,C1,adjective,น่าสนใจ,"To drive together, round up"
compensate,C1,verb,ชดเชย,To do (something good) after (something bad) happens
compensation,C1,noun,ค่าตอบแทน,The act or principle of compensating.
competence,C1,noun,ความสามารถ,"The quality or state of being competent, i.e. able or suitable for a general role."
competent,C1,adjective,มีความสามารถ,"Having sufficient skill, knowledge, ability, or qualifications."
compile,C1,verb,รวบรวม,An act of compiling code.
complement,C1,verb,ส่วนเติมเต็ม,A protective substance that exists in the serum or other bodily fluid and is capable of killing microorganisms; complement.
completion,B2,noun,เสร็จสมบูรณ์,"The act or state of being or making something complete; conclusion, accomplishment."
complexity,C1,noun,ความซับซ้อน,The state of being complex; intricacy; entanglement.
